품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
200105441,(주)창신의료용산소,Chang-Shin Medical Oxygen,(주)창신,"Chang-Shin Co.,LTD",2001-09-27,의약품,1,정상,,산소,,,전문의약품,완제의약품,신고,제조,,,,,,,N,,,,,,Oxygen
200710605,0.9%엔에이시엘.케이40주,0.9% NaCl.K 40 Inj.,제이더블유생명과학(주),JW Life Science,2007-09-18,의약품,29,정상,,염화나트륨/염화칼륨,"염산,주사용수",,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806789000208,8806789000215,8806789006606",B05BB01,,,,Sodium Chloride/Potassium Chloride
201507217,"1. 포비딘인후스프레이액(포비돈요오드)(바닐라향), 2. 포비딘인후스프레이액(포비돈요오드)(청포도향)",Povidine Throat Spray Sol.,(주)퍼슨,"Firson Co., Ltd.",2015-10-16,의약품,5054,정상,,포비돈 요오드,"프로필렌글리콜,청포도71334,자일리톨,유칼립톨,에탄올(95),효소처리스테비아,L-멘톨,요오드화칼륨,바닐라향 HF-63374,농글리세린,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806574011006,8806574011013,8806574011020,8806574011037,8806574011044",R02AA15,,201507217,,Povidone Iodine
199806758,1.도타렘주 2.도타렘주프리필드시린지,DOTAREM INJECTION,게르베코리아(주),Guertbet Korea Ltd.,1998-12-17,의약품,1,정상,,도타/산화가돌리늄/메글루민,주사용 증류수,,전문의약품,완제의약품,허가,수입,,,,,,,Y,"8806549000103,8806549000110,8806549000202,8806549000219,8806549000301,8806549000318,8806549000400,8806549000417,8806549000509,8806549000516,8806549000608,8806549000615,8806549001711,8806549001704,8806549000424,8806549000523,8806549000622,8806549001810,8806549001803,8806549000530,8806549000639,8806549000431",V08CA02,,,"스페인,프랑스,중국 홍콩,미국",DOTA/Gadolinium Oxide/Meglumine
200511943,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),"selenase 100 microgram peroral(sodium selenite pentahydrate), selenase T peroral(sodium selenite pentahydrate)",비오신코리아(주),biosynkorea,2005-12-27,의약품,1,정상,,아셀렌산나트륨오수화물,"염화나트륨,희석염산,정제수",,일반의약품,완제의약품,신고,수입,,,,,,,N,"8806748000102,8806748000119,8806748000126,8806748000713,8806748000720,8806748000706",A12CE02,,200511943,독일,Sodium Selenite Pentahydrate
201701571,1.셀레뉴원오랄액(아셀렌산나트륨오수화물) 2.셀큐민185오랄액(아셀렌산나트륨오수화물),Selenew-one Oral solution,(주)한국비엠아이,BMI KOREA,2017-03-31,의약품,5047,정상,,아셀렌산나트륨오수화물,"심황색소,인산이수소나트륨이수화물,인산수소나트륨수화물,염화나트륨,정제수,D-소르비톨",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806548022908,8806548022922,8806548022915,8806548023714,8806548023721,8806548022939,8806548023707",A12CE02,,201701571,,Sodium Selenite Pentahydrate
199200813,1.영진구론산바몬드액2.영진구론산바몬드스파클링액,1. Yungjin Guronsan Varmond Sol. 2.Yungjin Guronsan Varmond sparkling Sol.,해태에이치티비(주),"HAITAI htb Co., Ltd.",1992-06-27,의약품,1,정상,,글루쿠로노락톤/오로트산수화물/카페인무수물/니코틴산아미드/리보플라빈/피리독신염산염,"시트르산수화물,이성화당,염화나트륨,백당,에탄올(95),파인애플엣센스에스,시트르산나트륨수화물,L-멘톨,효소처리스테비아,오렌지엣센스티엠,그레이프엣센스에프-723,꿀,DL-사과산,정제수,이산화탄소",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806275000200,8806424006909,8806424006916,8806275000217",A13A,,199200813,,Glucuronolactone/Orotic Acid Hydrate/Anhydrous Caffeine/Nicotinamide/Riboflavin/Pyridoxine Hydrochloride
200005559,1.큐앤큐포비돈거즈볼-중(포비돈요오드)2.큐앤큐포비돈거즈볼-대(포비돈요오드),Q&Q Povidone-Iodine Gauze Ball,큐앤큐팜(주),Q&Q pharm,2000-03-28,의약품,18,정상,,포비돈요오드,"수산화나트륨,폴리옥시에틸렌옥틸페닐에테르,인산수소나트륨,멸균거즈볼,시트르산,농글리세린,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8806810001402,8806810001426,8806810001419,8806810001433,8806810001440,8806810001457,8806810001464,8806810001471,8806810001488,8806810005714,8806810005721,8806810005738,8806810005745,8806810005707,8806810007039,8806810007046,8806810007015,8806810007022,8806810007138,8806810007145,8806810007152,8806810007114,8806810007121,8806810007053,8806810007008,8806810007107,8806810007411,8806810007428,8806810007435,8806810007442,8806810007459,8806810007510,8806810007527,8806810007534,8806810007541,8806810007558,8806810007404,8806810007503,8806810008319,8806810008326,8806810008210,8806810008227,8806810008203,8806810008302,8806810008333,8806810008234,8806810008241,8806810001495",D08AG02,,200005559,,Povidone Iodine
200710602,10%포도당가엔에이.케이주1,10% Dextrose & Sodium.Potassium Inj. 1,제이더블유생명과학(주),JW Life Science,2007-09-18,의약품,32,정상,,포도당/염화나트륨/염화칼륨,주사용수,,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806789000307,8806789000314,8806789006408",B05BB02,,,,Glucose/Sodium Chloride/Potassium Chloride
200710603,10%포도당가엔에이.케이주2,10% Dextrose & Sodium.Potassium Inj. 2,제이더블유생명과학(주),JW Life Science,2007-09-18,의약품,31,정상,,포도당/염화나트륨/염화칼륨,주사용수,,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806789000406,8806789000413,8806789006507",B05BB02,,,,Glucose/Sodium Chloride/Potassium Chloride
201601539,32% 벤젠설폰산액,,명문바이오(주),"Myungmoon Bio. Co., Ltd.",2016-03-16,의약품,11,정상,,,"벤젠설폰산,정제수",,,원료의약품,허가,제조,,,,,,,N,,,,,,
198700162,5%포도당가엔에이.케이주2,5% Dextrose Nak Inj. 2,제이더블유중외제약(주),JW Pharmaceutical,1987-08-01,의약품,491,정상,,포도당/염화칼륨/염화나트륨,주사용수,,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806449000609,8806449000616,8806449000623,8806449141913,8806449141906",B05BB02,,,,Glucose/Potassium Chloride/Sodium Chloride
198700161,5%포도당가엔에이.케이주1,5% Dextrose NAK Inj. 1,제이더블유중외제약(주),JW Pharmaceutical,1987-08-01,의약품,490,정상,,포도당/염화칼륨/염화나트륨,주사용수,,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806449000500,8806449000517,8806449000524",B05BB02,,,,Glucose/Potassium Chloride/Sodium Chloride
200503698,5%포도당키트주사,5% Dextrose sodium chloride Kit inj.,(주)유케이케미팜,"UK Chemipharm Co., Ltd.",2005-01-28,의약품,27,정상,,포도당,주사용수,,전문의약품,완제의약품,신고,제조,,,,,,,N,"8806729000107,8806729000114,8806729000206,8806729000213,8806729003504,8806729003511,8806729003917,8806729003900",B05BA03,,,,Glucose
201904494,5-엠씨크림(리도카인),5-MC Cream,주식회사 더유제약,"Theu PHARMACEUTICAL Co., Ltd.",2019-07-02,의약품,1,정상,,리도카인,"트롤아민,메틸파라벤,소르빈산칼륨,폴리소르베이트60,카보머,스테아릴알코올,미리스트산이소프로필,정제수",,일반의약품,완제의약품,신고,제조,,,,,,,N,"8800570000200,8800570000217,8800570000224,8800570000231",N01BB02,,201904494,,Lidocaine
197300041,6-아미노페니씰라닉애시드,,서울약품공업(주),"seoul pharmaceutical inc. co., ltd.",1973-07-14,의약품,124,정상,,,"디클로로디메틸실란,메칠렌클로라이드,포스포러스펜타클로라이드,노말부탄올,포타시움페니실린지,디메칠아닐린",,,원료의약품,허가,제조,,,,,,,N,,,,,,
201209017,AG피나스테리드정(피나스테리드)(수출용),AG Finasteride (for export),안국약품(주),Ahngook Pharm,2012-12-03,의약품,5036,정상,,피나스테리드,"전분 글리콘산나트륨,라우릴황산나트륨,오파드라이 분홍 85G44100,스테아르산마그네슘,셀락토오스",,전문의약품,완제의약품,허가,제조,,,,,,,N,8806502039607,D11AX10,,,,Finasteride
201500388,"D3베이스주 100,000 IU (콜레칼시페롤)","D3BASE 100,000I.U./1ml solution for injection",(주)메디포트,"MEDIPORT Co.,Ltd.",2015-01-26,의약품,1,정상,,콜레칼시페롤,정제올리브유,,전문의약품,완제의약품,허가,수입,,,,,,,N,"8800500000102,8800500000126,8800500000119",A11CC05,,,이탈리아,Cholecalciferol
201500389,"D3베이스주 300,000 IU (콜레칼시페롤)","D3BASE 300,000I.U./1ml solution for injection",(주)메디포트,"MEDIPORT Co.,Ltd.",2015-01-26,의약품,2,정상,,콜레칼시페롤,정제올리브유,,전문의약품,완제의약품,허가,수입,,,,,,,N,"8800500000201,8800500000225,8800500000218",A11CC05,,,이탈리아,Cholecalciferol
201802476,가그린목액,Garglin Mok Sol.,동아제약(주),"Dong-A Pharmaceutical Co., Ltd.",2018-06-15,의약품,5124,정상,,벤지다민염산염/세틸피리디늄염화물수화물,"시트르산수화물,사카린나트륨수화물,조합향료(민트향S-9623),소르빈산칼륨,에탄올(95),조합향료(페퍼민트 후레이바 ZKF96023),농글리세린,폴리옥실40경화피마자유,정제수",,일반의약품,완제의약품,허가,제조,,,,,,,N,"8806265018109,8806265018116,8806265018123",A01AD11,,,,Benzydamine Hydrochloride/Cetylpyridinium Chloride Hydrate
200402915,가나릴정(이토프리드염산염),GANARILLTAB.(ITOPRIDEHCl),영풍제약(주),"Young Poong Pharmaceutical Co., Ltd.",2004-10-29,의약품,530,정상,,이토프리드염산염,"히프로멜로오스,유당수화물,호화전분,폴리에틸렌글리콜6000,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,카르나우바납,카르복시메틸셀룰로오스나트륨",,전문의약품,완제의약품,신고,제조,,원형,,,7.1,7.1,N,"8806619000101,8806619000118,8806619000125,8806619000132,8806619000149,8806619000156",A03FA07,200402915,,,Itopride Hydrochloride
200803702,"가나메드정

(이토프리드염산염)",Ganamed Tab.(Itopride HCl),일동제약(주),"Ildong Pharmaceutical Co., Ltd.",2008-04-04,의약품,534,정상,,이토프리드염산염,"크로스카르멜로오스나트륨,유당수화물,스테아르산마그네슘,오파드라이 흰색(OY-S-7223),옥수수전분,히드록시프로필셀룰로오스",,전문의약품,완제의약품,신고,제조,,원형,,,7.2,7.2,N,"8806429029101,8806429029118,8806429029125,8806429029132,8806429029149",A03FA07,,,,Itopride Hydrochloride
202002825,가나모티에스알정15밀리그램(모사프리드시트르산염수화물),Ganamoty SR Tab. 15mg,이연제약(주),"REYON PHARMACEUTICAL CO.,LTD",2020-04-21,의약품,5191,정상,,모사프리드시트르산염수화물,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,히프로멜로오스,유당수화물,스테아르산마그네슘,카르나우바납,경질무수규산,옥수수전분,오파드라이분홍색(03F640045),히드록시프로필셀룰로오스",,전문의약품,완제의약품,허가,제조,,타원형,,,9.8,5.1,N,"8806586042210,8806586042203,8806586042227",A03FA09,202002825,,,Mosapride Citrate Dihydrate
200701242,가나모티정(모사프리드시트르산염수화물),Ganamoty Tab.,이연제약(주),"REYON PHARMACEUTICAL CO.,LTD",2007-01-25,의약품,5008,정상,,모사프리드시트르산염수화물,"저치환도히드록시프로필셀룰로오스,히프로멜로오스,유당수화물,폴리에틸렌글리콜6000,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,옥수수전분,히드록시프로필셀룰로오스",,전문의약품,완제의약품,신고,제조,,장방형,,,9.09,4.58,N,"8806586000104,8806586000111,8806586000128",A03FA09,,,,Mosapride Citrate Dihydrate
201506870,가나슨캡슐,Ganason Cap.,(주)한국파마,"KOREA PHARMA Co., Ltd.",2015-09-30,의약품,5098,정상,,비페닐디메틸디카르복실레이트/우르소데옥시콜산,"폴리소르베이트80,유당수화물,스테아르산마그네슘,옥수수전분,폴리에틸렌글리콜 8000,캡슐",,전문의약품,완제의약품,허가,제조,,장방형,,,19.1,6.63,N,"8806530057000,8806530057017,8806530057024",A05AA,201506870,,,Biphenyl Dimethyl Dicarboxylate/Ursodeoxycholic Acid
202000325,가나젠정(이토프리드염산염),Ganazen Tab.,(주)테라젠이텍스,"THERAGEN ETEX CO., LTD.",2020-01-21,의약품,5221,정상,,이토프리드염산염,"유당수화물,카르복시메틸셀룰로오스,콜리코트아이알,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,탤크,옥수수전분",,전문의약품,완제의약품,허가,제조,,,,,,,N,"8806985041203,8806985041210",A03FA07,202000325,,,Itopride Hydrochloride
199600267,가나칸정50밀리그램(이토프리드염산염),Ganaton Tablet 50mg (Itopride Hcl),제이더블유중외제약(주),JW Pharmaceutical,1996-08-29,의약품,657,정상,,이토프리드염산염,"히프로멜로오스2910,유당수화물,폴리에틸렌글리콜6000,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,카르나우바납,옥수수전분,카르멜로스",,전문의약품,완제의약품,허가,제조,,원형,,,7.0,7.0,Y,"8806449003105,8806449003112,8806449003129,8806449003136,8806449003143,8806449003150,8806449003167,8806449003174,8806449003181,8806449003211,8806449003228,8806449003198",A03FA07,,,베트남,Itopride Hydrochloride
202000164,가나텍정(이토프리드염산염),,대원바이오텍주식회사,Danagen,2020-01-10,의약품,48,정상,,이토프리드염산염,"유당수화물,카르복시메틸셀룰로오스,콜리코트아이알,산화티탄,콜로이드성이산화규소,스테아르산마그네슘,탤크,옥수수전분",,전문의약품,완제의약품,허가,제조,,원형,,,7.1,7.1,N,"8800576004905,8800576004912,8800576004929",A03FA07,202000164,,,Itopride Hydrochloride
201502706,가나톤정50밀리그램(이토프리드염산염),Ganaton Tab. 50mg (itopride HCl),한국애보트(유),Abbott Korea,2015-04-30,의약품,5018,정상,,이토프리드염산염,"폴리에틸렌글라이콜6000,히프로멜로오스,유당,산화티탄,스테아르산마그네슘,카르나우바납,경질무수규산,옥수수전분,카르멜로스",,전문의약품,완제의약품,허가,수입,,원형,,,8,8,N,"8806442064004,8806442064011,8806442064028,8806442064035",A03FA07,,,일본,Itopride Hydrochloride
200702101,가나티란정(모사프리드시트르산염수화물),Ganatiran Tab.,진양제약(주),"JINYANG PHARM CO.,LTD.",2007-02-14,의약품,312,정상,,모사프리드시트르산염수화물,"저치환도히드록시프로필셀룰로오스,미결정셀룰로오스,유당수화물,오파드라이흰색(03B28796),스테아르산마그네슘,콜로이드성이산화규소,히드록시프로필셀룰로오스",,전문의약품,완제의약품,신고,제조,,장방형,,,9.1,4.6,N,"8806503000101,8806503000118,8806503000125,8806503000132",A03FA09,200702101,,,Mosapride Citrate Dihydrate
