품목기준코드,제품명,제품영문명,업체명,업체영문명,허가일,품목구분,허가번호,취소/취하,취소/취하일자,주성분,첨가제,품목분류,전문의약품,완제/원료,허가/신고,제조/수입,마약구분,모양,색상,제형,장축,단축,신약구분,표준코드명,ATC코드,묶음의약품정보,e은약요,수입제조국,주성분영문
200511454,#4500제이라스틱,,(주)곰스포츠,,2005-01-27,의약외품,4,정상,,,"합성고무,원단,산화티탄,천연고무,산화아연,송지,부틸화히드록시톨루엔",반창고,의약외품,,허가,수입,,,,,,,N,,,,,,
201005181,1)알펫손소독제액(에탄올)2)애니크린손소독제액(에탄올),,(주)크린피스,,2010-08-27,의약외품,96,정상,,에탄올(95),"젖산나트륨,알란토인,알로에엑스,글리세린,자몽종자추출물,조합향료(익조틱 레몬 와이에이치-8305081),정제수",외용소독제,의약외품,,허가,제조,,,,,,,N,,,,,,Ethanol 95%
201506752,1)킴스거즈2)킴스거즈와이3)킴스절단거즈4)킴스롤거즈,,(유)킴스메디칼,,2015-09-24,의약외품,1,정상,,거즈3호,,거즈,의약외품,,신고,수입,,,,,,,N,,,,,중국,Absorbent Gauze
201508324,1)킴스팩거즈2)킴스엑스레이거즈,,(유)킴스메디칼,,2015-12-18,의약외품,4,정상,,,"면사,거즈3호,합성수지",거즈,의약외품,,신고,수입,,,,,,,N,,,,,중국,
200908818,"1)파워클리어핸드세니타이저겔(에탄올), 2)헬씨클리어핸드세니타이저겔(에탄올)",,(주)메디치코리아코스메틱,,2009-12-14,의약외품,233,정상,,에탄올(95),"프로필렌글라이콜,조합향료(ARTEMISIA A71361),이소프로필미리스테이트,알로에베라젤,글리세린,아미노메틸프로판올,카보머,조합향료 (SKIN CARE NSR-27127),이소프로필알코올,정제수",외용소독제,의약외품,,신고,제조,,,,,,,N,,,,,,Ethanol 95%
200800961,"1-1.덴탈크리닉2080키즈치약그린애플(내수용)

1-2.덴탈크리닉2080키즈치약라스베리(내수용)

1-3.덴탈크리닉2080키즈치약사과향(내수용)

1-4.덴탈크리닉2080키즈치약딸기향(내수용)

1-5.덴탈크리닉2080키즈치약애플(수출용)

1-6.덴탈크리닉2080키즈치약스트로베리(수출용)

2.덴탈크리닉2080키즈크리닉치약",,애경산업(주),,2008-01-24,의약외품,23,정상,,이산화규소/일불소인산나트륨/글리세로인산칼슘/토코페롤아세테이트,"비결정성소르비톨액70%,라우릴황산나트륨,사과추출액,조합향료(382411),적색104호(1),사카린나트륨수화물,제삼인산나트륨,조합향료(SK-57643),황산마그네슘수화물,자일리톨,조합향료(TP FRUITY MINT FLAVOR S2000699),적색 227호,산화티탄,염화나트륨,카르복시메틸셀룰로오스 나트륨,조합향료(Strawberry Flavor SK-H7236),조합향료(C-32335),조합향료(382410),조합향료(Toothpaste Flavor G-83231),에데트산나트륨,잔탄검,제일인산나트륨,조합향료(A-24375),효소처리스테비아,청색 1호,라즈베리추출액,카르복시메틸셀룰로오스나트륨,폴리에틸렌글리콜1500,황색 203호,정제수",치약제,의약외품,,신고,제조,,,,,,,N,,,,,,Silicone Dioxide/Sodium Monofluorophosphate/Calcium Glycerophosphate/Tocopherol Acetate
201602137,1. NVR키즈치약딸기맛(수출용)2. NVR키즈내츄럴치약딸기맛(수출용)3. NVR키즈치약오렌지맛(수출용)4. NVR키즈내츄럴치약키위맛(수출용)5. NVR키즈치약사과맛(수출용)6. NVR키즈치약복숭아맛(수출용)7. 조이문키즈치약바나나맛(수출용)8. 조이문키즈치약딸기맛(수출용)9. 조이문키즈치약블루베리맛(수출용)10. 조이문키즈치약사과맛(수출용)11. 호람키즈딸기맛펌프치약(수출용)12. 호람키즈사과맛펌프치약(수출용),,(주)그린원일,Green Wonil,2016-04-18,의약외품,5062,정상,,토코페롤아세테이트,"함수규산(TIXOSIL43K),벤조산나트륨,녹차추출물,라우릴황산나트륨,블루베리향(HF-AE36937),글리세린,딸기향(HF-63287),자일리톨,오렌지오일 S-8000,효소처리스테비아,L-멘톨,복숭아향S-6877,바나나향(HF-63422),D-소르비톨액,카르복시메틸셀룰로오스나트륨,키위향(S-6874),코코일글루타민산나트륨,글리세로인산칼슘,정제수,사과향 S-8202",치약제,의약외품,,신고,제조,,,,,,,N,,,,,,Tocopherol Acetate
202002598,"1. 그린모이스춰핸드세니타이저겔(에탄올), 2. 프레시네이처핸드클리너겔(에탄올), 3. 스너그카밍핸드세니타이저겔(에탄올)",,유씨엘주식회사,,2020-04-13,의약외품,5015,정상,,에탄올(95),"트리에탄올아민,조합향료(시트러스플로랄6피03342),알로에엑스(2),조합향료(그린플로랄15피09834),글리세린,아미노메틸프로판올,카프릴릭·카프릭글리세리드,2-옥틸도데칸올,카보머,로즈마리엑스,부틸렌글리콜,히드록시에틸셀룰로오스,쑥 엑스,녹차엑스(1),정제수,로즈마리 엑스",외용소독제,,,신고,제조,,,,,,,N,,,,,,Ethanol 95%
202303326,"1. 네오소프트에이황사방역마스크(KF94)(대형,중형,소형)(검정색), 2. 네오소프트에이황사방역마스크(KF94)(대형)(분홍색), 3.네오소프트에이황사방역마스크(KF94)(대형,중형,소형)(회색), 4.네오소프트에이황사방역마스크(KF94)(대형,중형,소형)(연황색)",,(주)네오메디제약,,2023-12-13,의약외품,48,정상,,,"폴리프로필렌부직포(연황색),폴리프로필렌부직포(검정색),폴리프로필렌부직포(회색),폴리프로필렌 필터 부직포,폴리프로필렌부직포(분홍색),폴리우레탄나일론끈(분홍색),폴리우레탄나일론끈(연황색),폴리우레탄나일론끈(검정색),마스크용 부직포,플라스틱 코편,폴리우레탄나일론끈(회색)",보건용 마스크,,,허가,제조,,,,,,,N,,,,,,
201602366,1. 네이블케어액(벤잘코늄염화물) 2. 쏠케어액(벤잘코늄염화물) 3. 프리오액(벤잘코늄염화물),,(주)그린제약,"Greenpharmaceutical Co., Ltd",2016-04-28,의약외품,5015,정상,,벤잘코늄염화물,"박하유,글리세린,히드록시에틸 셀룰로오스,D-판테놀,알로에엑스가루,부틸렌글리콜,정제수",외용소독제,의약외품,,신고,제조,,,,,,,N,,,,,,Benzalkonium Chloride
200106909,"1. 뉴-프로메디치약, 2. 마이차콜치약, 3. 실렉티드치약",,아세아제약(주),"ASEA PHARMACEUTICAL CO., LTD",2001-09-25,의약외품,27,정상,,침강탄산칼슘/인산수소칼슘/아미노카프론산/알란토인클로로히드록시알루미늄,"1,2-펜탄디올,라우릴황산나트륨,벤조산나트륨,멘톨,쑥엑스,스피아민트오일,유자추출물,자일리톨,녹차엑스,탄산수소나트륨,삭카린나트륨,폴리옥시에틸렌경화피마자유,효소처리스테비아,라벤더수,산화아연,D-소르비톨액,헥실렌글리콜,카르복시메틸셀룰로오스나트륨,은행잎추출물,활성탄,코코일글루타민산나트륨,이산화티탄,농글리세린,청색1호,정제수,에리스리톨,로즈마리추출물",치약제,의약외품,,신고,제조,,,,,,,N,,,,,,Precipitated Calcium Carbonate/Calcium Phosphate Dibasic/Aminocaproic Acid/Aluminium Chlorohydroxy Allantoinate
201908439,"1. 뉴에어황사방역마스크(KF94)(대형)(흰색), 2. 뉴에어황사방역마스크(KF94)(대형)(검정색), 3. 뉴에어황사방역마스크(KF94)(대형)(회색)",,㈜참조은산업,,2019-12-16,의약외품,5031,정상,,,"폴리프로필렌으로 피복된 철사4,폴리프로필렌부직포(검정색),폴리프로필렌부직포(회색),고무끈6(회색),고무끈6,고무끈6(검정색),부직포,폴리프로필렌필터부직포,플라스틱 코편",보건용 마스크,,,허가,제조,,,,,,,N,,,,,,
201908440,"1. 뉴에어황사방역마스크(KF94)(소형)(흰색), 2. 뉴에어황사방역마스크(KF94)(소형)(검정색), 3. 뉴에어황사방역마스크(KF94)(소형)(회색)",,㈜참조은산업,,2019-12-16,의약외품,5032,정상,,,"폴리프로필렌으로 피복된 철사4,폴리프로필렌부직포(검정색),폴리프로필렌부직포(회색),고무끈6(회색),고무끈6,고무끈6(검정색),부직포,폴리프로필렌필터부직포,플라스틱 코편",보건용 마스크,,,허가,제조,,,,,,,N,,,,,,
201101738,"1. 닥터플루오랄워시액(플루오르화나트륨), 2. 메디큐케어가글액(플루오르화나트륨), 3. 자바엑스액(플루오르화나트륨), 4. 쿨센스케어액(플루오르화나트륨)",,아세아제약(주),"ASEA PHARMACEUTICAL CO., LTD",2011-03-28,의약외품,5020,정상,,플루오르화나트륨,"라우릴황산나트륨,벤조산나트륨,구연산,멘톨,강황추출물,스테비올배당체,포공영추출물,키토산,페퍼민트오일 HR-AF14284,매스틱추출물,사카린나트륨,자일리톨,D-소비톨액,에탄올(95),니신,자몽종자추출물,폴리옥시에틸렌경화피마자유,사포나리아추출물,프로폴리스추출물,농글리세린,녹차엑스(1),청색1호,정제수",구중청량제(내복용제 및 양치제),,,신고,제조,,,,,,,N,,,,,,Sodium Fluoride
201006073,1. 덴타스마일치약 2.포프리치약,,케이엠제약(주),,2010-10-08,의약외품,25,정상,,이산화규소/일불소인산나트륨,"함수규산(TIXOSIL43K),라우릴황산나트륨,알긴산나트륨,카르본,메틸파라벤,자일리톨,조합향료(민트향 HF-62728),소르비톨액(70%, 비결정성),조합향료(허브민트향 HF-61834),L-멘톨,아네톨,카르복시메칠셀룰로오스나트륨,카르복시메틸셀룰로오스나트륨,은박,청색 1호,폴리에틸렌글리콜1500,삭카린 나트륨,조합향료(페퍼민트 HF-6139),정제수,폴리에칠렌글리콜 1500,조합향료(후르츠민트향 HF-62558)",치약제,의약외품,,신고,제조,,,,,,,N,,,,,,Silicone Dioxide/Sodium Monofluorophosphate
202201476,"1. 라엘입는오버나이트라지, 2. 라엘입는오버나이트미디엄",,(주)라엘코리아,-,2022-04-07,의약외품,5,정상,,,"폴리우레탄사(흰색),통기성방수용폴리에틸렌필름,폴리아크릴산나트륨,핫멜트접착제(테크노멜트DM2847E),면상펄프,폴리우레탄사(등색),순면부직포,부직포",생리대,,,허가,수입,,,,,,,N,,,,,중국,
202005681,"1. 레스티나클린핸드세니티슈(에탄올), 2. 레상스핸드세니티슈(에탄올), 3. 티에스가드세이프올알콜티슈(에탄올)",,(주)코스메카코리아,,2020-08-05,의약외품,715,정상,,에탄올(95),"호스테일 엑스,시트르산나트륨,시트르산,조합향료(룬),부틸렌글리콜,알로에베라겔,인삼 엑스,정제수,부직포",외용소독제,,,허가,제조,,,,,,,N,,,,,,Ethanol 95%
202000967,"1. 로타핸즈손소독제겔(에탄올), 2. 미라클손소독제겔(에탄올)",,(주)로타,,2020-02-14,의약외품,5010,정상,,에탄올(95),"트리에탄올아민,글리세린,자몽 엑스,카보머,이디티에이,알로에베라 겔,정제수",외용소독제,,,신고,제조,,,,,,,N,,,,,,Ethanol 95%
